@relation baseball
@attribute Batting_average real [0.063,0.457]
@attribute On-base_percentage real [0.063,0.486]
@attribute Runs integer [0,133]
@attribute Hits integer [1,216]
@attribute Doubles integer [0,49]
@attribute Triples integer [0,15]
@attribute HomeRuns integer [0,44]
@attribute Runs_batted_in integer [0,133]
@attribute Walks integer [0,138]
@attribute Strike-Outs integer [1,175]
@attribute Stolen_bases integer [0,76]
@attribute Errors integer [0,31]
@attribute Free_agency_eligibility integer [0,1]
@attribute Free_agent integer [0,1]
@attribute Arbitration_eligibility integer [0,1]
@attribute Arbitration integer [0,1]
@attribute Salary integer [109,6100]
@inputs Batting_average, On-base_percentage, Runs, Hits, Doubles, Triples, HomeRuns, Runs_batted_in, Walks, Strike-Outs, Stolen_bases, Errors, Free_agency_eligibility, Free_agent, Arbitration_eligibility, Arbitration
@outputs Salary
@data
0.248, 0.3, 58, 139, 29, 3, 17, 88, 44, 61, 0, 5, 1, 0, 0, 0, 2188
0.305, 0.36, 69, 173, 40, 6, 8, 77, 50, 113, 20, 3, 0, 0, 0, 0, 315
0.196, 0.297, 36, 56, 12, 0, 12, 42, 41, 66, 5, 8, 0, 0, 1, 0, 2567
0.222, 0.296, 21, 38, 8, 5, 2, 19, 18, 52, 0, 2, 1, 0, 0, 0, 400
0.311, 0.336, 54, 137, 28, 1, 10, 69, 14, 22, 1, 8, 1, 1, 0, 0, 2500
0.258, 0.318, 64, 107, 22, 3, 8, 40, 35, 86, 4, 24, 0, 0, 1, 0, 1075
0.244, 0.319, 81, 132, 24, 5, 27, 98, 62, 125, 2, 2, 0, 0, 0, 0, 500
0.277, 0.385, 84, 148, 34, 1, 29, 93, 95, 117, 5, 0, 1, 0, 0, 0, 2800
0.225, 0.272, 17, 38, 6, 1, 1, 4, 11, 40, 4, 5, 1, 1, 0, 0, 550
0.303, 0.401, 21, 50, 10, 1, 6, 23, 24, 25, 0, 2, 0, 0, 0, 0, 450
0.111, 0.138, 3, 3, 0, 0, 0, 1, 1, 7, 0, 0, 0, 0, 0, 0, 170
0.294, 0.338, 29, 86, 15, 3, 2, 40, 17, 46, 2, 3, 1, 0, 0, 0, 1150
0.23, 0.257, 34, 106, 23, 1, 12, 53, 16, 75, 3, 15, 0, 0, 0, 0, 280
0.282, 0.323, 60, 130, 31, 2, 26, 95, 25, 99, 3, 9, 0, 0, 0, 0, 175
0.25, 0.28, 2, 6, 0, 2, 0, 1, 1, 8, 0, 1, 0, 0, 0, 0, 113
0.261, 0.289, 86, 164, 28, 9, 8, 64, 24, 99, 20, 3, 0, 0, 0, 0, 275
0.243, 0.344, 20, 45, 12, 0, 0, 15, 30, 30, 3, 4, 1, 0, 0, 0, 650
0.286, 0.361, 34, 73, 14, 1, 2, 19, 30, 21, 2, 3, 0, 0, 1, 0, 950
0.256, 0.338, 52, 95, 13, 1, 27, 69, 43, 57, 2, 6, 1, 0, 0, 0, 3750
0.271, 0.339, 21, 54, 8, 1, 2, 20, 21, 25, 2, 11, 1, 1, 0, 0, 675
0.217, 0.283, 45, 80, 16, 4, 5, 34, 30, 75, 17, 16, 0, 0, 0, 0, 183
0.284, 0.373, 72, 131, 20, 1, 20, 89, 67, 48, 4, 8, 1, 0, 0, 0, 3100
0.249, 0.337, 54, 115, 15, 1, 17, 73, 63, 116, 6, 5, 1, 0, 0, 0, 2500
0.216, 0.267, 20, 51, 7, 0, 1, 17, 16, 45, 3, 12, 0, 0, 0, 0, 153
0.268, 0.293, 3, 15, 4, 0, 1, 5, 2, 12, 1, 0, 0, 0, 0, 0, 135
0.273, 0.346, 87, 169, 28, 5, 8, 58, 70, 53, 3, 8, 0, 0, 1, 0, 2313
0.286, 0.444, 0, 2, 0, 0, 0, 0, 2, 3, 0, 0, 0, 0, 0, 0, 130
0.273, 0.284, 52, 143, 20, 3, 3, 49, 11, 38, 21, 21, 0, 0, 1, 0, 1900
0.263, 0.373, 57, 127, 17, 2, 16, 70, 84, 108, 0, 11, 0, 0, 1, 0, 1200
0.248, 0.286, 24, 56, 5, 2, 2, 13, 12, 35, 2, 11, 1, 1, 0, 0, 350
0.229, 0.303, 54, 105, 24, 1, 16, 70, 49, 72, 1, 3, 1, 0, 0, 0, 2850
0.267, 0.296, 60, 155, 22, 3, 17, 87, 23, 114, 8, 14, 0, 0, 1, 1, 3300
0.281, 0.351, 78, 159, 24, 6, 1, 50, 59, 40, 25, 18, 0, 0, 0, 0, 360
0.219, 0.268, 34, 82, 13, 2, 9, 33, 23, 86, 5, 9, 1, 0, 0, 0, 2367
0.243, 0.279, 23, 69, 14, 0, 1, 24, 14, 67, 0, 5, 0, 0, 0, 0, 700
0.246, 0.31, 25, 41, 13, 0, 5, 22, 15, 42, 0, 4, 0, 0, 1, 0, 650
0.273, 0.33, 89, 174, 42, 3, 33, 108, 49, 112, 20, 8, 1, 0, 0, 0, 3742
0.268, 0.359, 102, 163, 20, 6, 5, 50, 83, 68, 51, 3, 1, 0, 0, 0, 3500
0.272, 0.3, 18, 62, 14, 2, 5, 35, 9, 19, 0, 3, 0, 0, 1, 0, 775
0.293, 0.355, 32, 79, 17, 0, 1, 30, 24, 43, 2, 0, 0, 0, 0, 0, 629
0.296, 0.401, 112, 182, 13, 5, 2, 38, 108, 79, 38, 0, 1, 0, 0, 0, 3333
0.283, 0.349, 87, 175, 42, 2, 5, 60, 60, 53, 6, 14, 0, 0, 1, 1, 1600
0.225, 0.292, 60, 130, 22, 1, 13, 73, 50, 100, 2, 14, 1, 0, 0, 0, 1907
0.265, 0.361, 86, 134, 22, 4, 28, 99, 75, 125, 10, 5, 1, 0, 0, 0, 4050
0.3, 0.368, 69, 141, 22, 3, 19, 75, 53, 64, 31, 7, 1, 0, 0, 0, 2600
0.276, 0.346, 86, 158, 33, 0, 25, 85, 58, 113, 6, 1, 1, 0, 0, 0, 2600
0.278, 0.396, 84, 147, 19, 1, 31, 106, 105, 135, 4, 14, 1, 0, 0, 0, 4075
0.201, 0.33, 62, 97, 22, 0, 22, 75, 93, 116, 2, 4, 1, 0, 0, 0, 2825
0.233, 0.302, 40, 91, 17, 2, 16, 45, 40, 82, 1, 7, 0, 0, 0, 0, 150
0.262, 0.315, 51, 94, 12, 1, 21, 49, 27, 66, 5, 2, 0, 0, 1, 0, 805
0.322, 0.389, 115, 203, 49, 3, 26, 88, 68, 72, 4, 12, 0, 0, 1, 1, 3850
0.238, 0.29, 38, 70, 14, 4, 0, 28, 18, 43, 20, 3, 1, 0, 0, 0, 1100
0.255, 0.347, 45, 71, 7, 5, 1, 17, 39, 47, 37, 3, 1, 0, 0, 0, 3213
0.286, 0.32, 63, 149, 27, 4, 2, 47, 27, 34, 4, 12, 1, 1, 0, 0, 1150
0.301, 0.36, 79, 166, 34, 3, 21, 96, 52, 66, 2, 8, 1, 1, 0, 0, 4200
0.255, 0.327, 77, 129, 40, 2, 10, 61, 58, 75, 2, 1, 1, 0, 0, 0, 3100
0.245, 0.322, 19, 45, 11, 1, 1, 15, 18, 43, 3, 15, 0, 0, 0, 0, 360
0.337, 0.413, 13, 32, 5, 0, 0, 12, 13, 14, 0, 0, 0, 0, 0, 0, 260
0.275, 0.298, 6, 25, 3, 0, 1, 6, 2, 14, 0, 7, 0, 0, 0, 0, 117
0.253, 0.312, 65, 145, 30, 3, 13, 80, 46, 85, 4, 23, 0, 0, 1, 0, 1500
0.285, 0.323, 63, 159, 27, 0, 25, 86, 32, 62, 2, 10, 1, 0, 0, 0, 3650
0.288, 0.346, 80, 171, 28, 2, 11, 69, 48, 74, 3, 27, 0, 0, 0, 0, 525
0.188, 0.243, 13, 30, 7, 0, 5, 14, 11, 42, 1, 8, 0, 0, 1, 0, 370
0.243, 0.322, 38, 45, 8, 3, 5, 17, 18, 45, 15, 6, 0, 0, 0, 0, 130
0.188, 0.243, 20, 36, 9, 1, 2, 18, 15, 40, 2, 2, 1, 1, 0, 0, 400
0.25, 0.279, 11, 57, 10, 0, 1, 23, 11, 46, 0, 1, 1, 0, 0, 0, 900
0.205, 0.268, 21, 36, 5, 3, 1, 11, 16, 36, 7, 3, 1, 0, 0, 0, 715
