@relation delta_elv
@attribute climbRate real [-15.0, 15.1]
@attribute Altitude integer [-100, 90]
@attribute RollRate real [-0.0237, 0.0184]
@attribute curRoll real [-0.051, 0.049]
@attribute diffClb real [-0.8, 0.7]
@attribute diffDiffClb real [-0.03, 0.02]
@attribute Se real [-0.014, 0.013]
@inputs climbRate, Altitude, RollRate, curRoll, diffClb, diffDiffClb
@outputs Se
@data
2.0, -50, -0.0048, -0.0010, 0.2, 0.0, -0.0010
6.5, -40, -0.0010, -0.0090, 0.2, 0.0, 0.0030
-5.6, 0, 0.0046, 0.0, -0.1, 0.0, -0.0020
-3.9, -30, -0.0025, 0.0050, 0.0, 0.0, -0.0010
-3.9, 0, -0.0019, 0.017, -0.2, 0.0, -0.0010
2.3, -40, 0.0040, -0.0070, 0.1, 0.0, 0.0010
-1.9, -30, 0.0055, -0.013, 0.0, 0.0, -0.0010
-0.4, -50, -0.0065, 0.0070, 0.1, -0.01, 0.0010
5.5, -10, -0.0014, -0.022, 0.3, 0.0, 0.0020
-4.6, 10, 0.0036, -0.0030, -0.1, 0.0, -0.0010
-8.9, 10, -0.0047, -0.0080, 0.0, 0.0, -0.0010
-4.0, -50, -0.0052, 0.023, 0.0, -0.01, -0.0010
-5.0, -20, 0.0021, -0.0090, 0.1, 0.0, -0.0010
-2.9, -30, 0.0016, -0.0010, 0.0, 0.0, -0.0010
6.2, 60, 0.0042, -0.013, 0.1, 0.0, 0.0010
-7.6, 70, -0.0038, 0.025, -0.2, 0.0, -0.0020
-2.8, -10, -0.0036, -0.01, -0.1, 0.0, -0.0040
2.7, -10, 0.0019, -0.014, 0.2, 0.0, 0.0040
1.7, -30, 0.0052, -0.0050, 0.2, 0.0, 0.0030
-4.5, 30, -0.0046, -0.0070, -0.3, 0.0, -0.0030
-7.1, 10, -0.0033, -0.019, 0.0, 0.0, -0.0010
-2.5, -10, 7.0E-4, -0.023, -0.1, 0.0, -0.0010
0.0, -30, -0.0054, 0.02, 0.2, 0.0, 0.0010
-11.1, -40, 0.0057, 0.025, -0.1, 0.0, -0.0030
7.5, 10, -0.0059, 0.0050, -0.6, 0.02, -0.0010
-7.1, -20, 0.0046, -0.013, 0.1, 0.0, -0.0020
-9.1, -40, 0.0013, 0.015, 0.2, 0.0, -0.0030
1.2, 0, -0.0048, 0.021, -0.5, 0.0, -0.0060
-7.8, -10, 8.0E-4, 0.0020, -0.3, 0.0, -0.0030
5.8, -40, -0.0014, -0.0050, 0.3, 0.0, 0.0020
-2.9, -10, 0.0012, 0.026, -0.2, 0.0, -0.0020
-3.2, -10, 0.0022, -0.011, -0.3, 0.01, -0.0070
-0.5, 10, -0.0084, 0.0050, -0.2, 0.0, -0.0040
8.4, -30, -0.0024, 0.017, 0.3, 0.0, 0.0050
8.4, -10, 0.0033, -0.01, 0.1, 0.0, 0.0040
1.4, -10, -1.0E-4, -0.0010, -0.2, -0.01, 0.0010
-7.4, -60, -9.0E-4, 0.027, 0.1, -0.02, -0.0010
-1.9, -30, 0.0101, 0.0, 0.1, 0.0, 0.0010
7.3, -20, -0.0060, 0.041, 0.1, 0.0, 0.0010
0.7, -30, -0.0072, 0.0060, 0.3, 0.01, 0.0010
-10.8, 40, -0.0054, 0.016, -0.2, 0.0, -0.0020
0.2, -10, -0.0076, -0.014, 0.0, 0.0, 0.0010
-3.5, -20, 0.0044, -0.0040, -0.1, 0.0, -0.0010
4.0, 0, -4.0E-4, 0.0060, 0.0, 0.0, 0.0010
-7.1, 0, -5.0E-4, -0.0020, 0.0, 0.0, -0.0020
-3.7, -50, 0.0043, 0.023, 0.2, 0.0, -0.0010
4.6, -50, -0.0011, 0.031, 0.2, 0.0, 0.0010
7.9, -20, -0.0083, 0.013, 0.0, 0.0, 0.0010
-5.9, 0, -0.0089, -0.015, -0.1, 0.0, -0.0050
2.4, -20, -0.0055, 0.026, 0.1, 0.0, 0.0030
-4.3, 0, -0.0033, 0.0090, 0.1, -0.02, -0.0020
-0.4, -10, 0.0020, 0.023, -0.2, 0.0, -0.0010
7.5, 0, -0.0016, -0.0020, 0.1, 0.0, 0.0020
-2.0, 20, -7.0E-4, -0.0090, -0.2, 0.0, -0.0020
