@relation house
@attribute P1 real[2,7322564]
@attribute P5p1 real[0.125,0.9230769]
@attribute P6p2 real[0,1]
@attribute P11p4 real[0,0.9172546]
@attribute P14p9 real[0,0.5118719]
@attribute P15p1 real[0.0541562,1]
@attribute P15p3 real[0,0.9433249]
@attribute P16p2 real[0.2337023,1]
@attribute P18p2 real[0,0.125]
@attribute P27p4 real[0,0.7057357]
@attribute H2p2 real[0,0.9751773]
@attribute H8p2 real[0,1]
@attribute H10p1 real[0.0032573,1]
@attribute H13p1 real[0,1]
@attribute H18pA real[0,1]
@attribute H40p4 real[0,1]
@attribute Price real[0,500001]
@inputs P1, P5p1, P6p2, P11p4, P14p9, P15p1, P15p3, P16p2, P18p2, P27p4, H2p2, H8p2, H10p1, H13p1, H18pA, H40p4
@outputs Price
@data
1447,0.4803041,0.0041465,0.2453352,0.0784574,0.9073946,0,0.808752,0.0016207,0.0243112,0.5750689,0.0016207,0.993517,0.09573,0,0.1923077,148300
126,0.4444444,0,0.1587302,0.0857143,0.9365079,0,0.8461538,0,0,0.037037,0,1,0.1481481,0.125,0,40000
75494,0.5174054,0.2089702,0.0712507,0.0696896,0.8114022,0.0913715,0.7653093,0.004127,0.0403663,0.079589,0.1925949,0.9700102,0.3334057,0.0848648,0.2631579,46900
2027,0.4829798,0.0157869,0.0705476,0.0505725,0.9669462,0,0.9133739,0.0030395,0.0121581,0.0337739,0.0151976,0.9924012,0.0528634,0.1333333,0.5,83500
233,0.4463519,0,0.1373391,0.1162791,0.888412,0,0.6941176,0,0,0.1747573,0,1,0.3786408,0.05,0.75,14999
160,0.45625,0,0.15625,0.1494253,0.8875,0,0.7,0,0,0.1304348,0,1,0.3768116,0.1111111,0,22500
534,0.505618,0,0.1048689,0.0606061,0.917603,0,0.8,0,0.0378378,0.079602,0,0.9945946,0.3034826,0.0526316,1,45800
721,0.4521498,0,0.2884882,0.235443,0.8016644,0.0402219,0.6485623,0,0.0127796,0.0821114,0,0.9936102,0.1906158,0.0615385,0.8333333,14999
1323,0.5079365,0.0181406,0.0445956,0.0384025,0.9047619,0,0.7780083,0.0041494,0.0290456,0.0836502,0.0248963,0.9605809,0.4296578,0.0533333,0.6,66900
1288,0.4813665,0.0031056,0.1312112,0.1152695,0.890528,0,0.7535354,0.0060606,0.0262626,0.0764925,0.0020202,0.9939394,0.2220149,0.1022727,0.2222222,45700
7593,0.6118794,0.1881997,0.0019755,0.0040719,0.730673,0.2655077,0.9829284,0.0006566,0.0006566,0.0193175,0.1825345,0.9323703,0.1113973,0.2360923,1,23100
452,0.4690265,0,0.2477876,0.1541667,0.8429204,0,0.6528497,0.0051813,0.0103627,0.076555,0,1,0.2344498,0,0.6666667,18700
33530,0.4888756,0.0836564,0.1799284,0.1381725,0.7445273,0.0910528,0.6298222,0.003692,0.0373719,0.0733138,0.0550784,0.9718957,0.3156682,0.0639121,0.5793103,26500
148,0.5067568,0,0.222973,0.1506849,0.8040541,0,0.6216216,0,0.0135135,0.0864198,0,1,0.3209877,0.047619,1,14999
271,0.4907749,0,0.1697417,0.0869565,0.904059,0,0.7572816,0.0097087,0.0097087,0.1953125,0,0.9805825,0.234375,0.1428571,0.75,19800
257,0.4708171,0,0.1867704,0.1323529,0.8832685,0,0.6969697,0,0,0.1315789,0,1,0.1754386,0.1923077,0.5,14999
1315,0.4311787,0.0022814,0.3163498,0.2192513,0.7589354,0.0730038,0.6192171,0.0017794,0.0124555,0.0442177,0.0035587,0.9875445,0.244898,0.0212766,0.25,23700
198,0.4444444,0,0.1010101,0.0545455,0.9242424,0,0.8421053,0.0131579,0.0263158,0.0731707,0,0.9868421,0.0853659,0.125,0.3333333,25100
9952,0.4502613,0.0040193,0.1369574,0.0910254,0.7172428,0.1198754,0.6567774,0.0054437,0.0688623,0.0293263,0.002994,0.9931954,0.3247028,0.0459184,0.2352941,67200
6773,0.4907722,0.0447365,0.1071903,0.0727747,0.9164329,0,0.7991786,0.0020534,0.0283368,0.0279441,0.0324435,0.9839836,0.1528942,0.0654545,0.3076923,80500
1786,0.4496081,0.0016797,0.2222844,0.1993896,0.8208287,0.0078387,0.6265985,0.0012788,0.0153453,0.0949074,0.0012788,0.9987212,0.2592593,0.0711462,0.8,29900
2491,0.4476114,0,0.2613408,0.1809593,0.8157367,0.0401445,0.6743075,0.0019102,0.0114613,0.0799649,0,0.9980898,0.2398946,0.0601852,0.7647059,26200
1776,0.3125,0.0022523,0.0050676,0.000819,0.2702703,0,0.2369077,0.0374065,0.7057357,0.0564706,0.0049875,0.925187,0.2823529,0.5089514,0,0
1977,0.4785028,0.0136571,0.1259484,0.0882638,0.8209408,0.0389479,0.7090433,0.0091743,0.0602883,0.0353982,0.0091743,0.9947575,0.2427307,0.0095694,0.4,69600
2887,0.5067544,0.0131625,0.0516107,0.0301966,0.9750606,0,0.9342252,0,0.0133779,0.0218103,0.0100334,0.9955407,0.0196292,0.0909091,0.0909091,254300
1997,0.4697046,0.0005008,0.1532298,0.1227573,0.8547822,0.0175263,0.7104592,0.0038265,0.0293367,0.062201,0.0012755,0.9910714,0.2727273,0.0860656,0.4166667,30800
466,0.4935622,0,0.195279,0.1483051,0.8927039,0,0.7292818,0,0.0055249,0.0765306,0,1,0.3979592,0.2666667,0.5,14999
1184,0.4375,0.1131757,0.2212838,0.2057057,0.8302365,0.0456081,0.675,0,0.0090909,0.1472868,0.1045455,0.9772727,0.4089147,0.1708861,0.5,24100
3702,0.5116153,0.0613182,0.0721232,0.0835177,0.9076175,0,0.7778682,0.0081367,0.0447518,0.1622359,0.0593979,0.9707079,0.4444444,0.1611722,0.7619048,33400
37825,0.4737343,0.2615995,0.1454329,0.1008239,0.8701917,0.0342366,0.7665385,0.0015385,0.0333846,0.0250487,0.2314615,0.9481538,0.1865907,0.0572605,0.5059524,178800
865,0.5040462,0,0.0878613,0.030303,0.9364162,0.0080925,0.8791946,0.0033557,0.0167785,0.0716511,0,0.9865772,0.0778816,0.3333333,0.8181818,64500
282,0.4858156,0.3368794,0.1453901,0.1793103,0.8723404,0,0.6730769,0,0.0096154,0.0458716,0.2596154,0.9807692,0.266055,0.2631579,1,15800
1650,0.4618182,0.0545455,0.1660606,0.1463964,0.8927273,0,0.7496013,0.0063796,0.0223285,0.0542986,0.0510367,0.9920255,0.3755656,0.127451,0.4,28500
1611,0.4692737,0.0068281,0.1328367,0.102924,0.8497827,0,0.6861199,0.0015773,0.0630915,0.0593472,0.0031546,0.9968454,0.2893175,0.0392157,0,71400
3500,0.5434286,0.0017143,0.0474286,0.0607009,0.81,0.0474286,0.6711349,0.0107239,0.0840036,0.1611694,0.002681,0.9758713,0.6431784,0.1677215,0.9375,53200
1896,0.4783755,0.0015823,0.1872363,0.1496461,0.8449367,0.0443038,0.7257143,0.0042857,0.0214286,0.0344828,0,0.9857143,0.2068966,0.0880503,1,32500
419,0.4582339,0,0.1980907,0.1365639,0.8568019,0,0.6797753,0,0.0168539,0.1231527,0,1,0.1231527,0.0681818,0,21000
