@relation mortgage
@attribute 1MonthCDRate real [3.02,20.76]
@attribute 1Y-CMaturityRate real [77.055,142.645]
@attribute 3M-Rate-AuctionAverage real [6.49,18.63]
@attribute 3M-Rate-SecondaryMarket real [2.67,16.75]
@attribute 3Y-CMaturityRate real [2.69,16.76]
@attribute 5Y-CMaturityRate real [4.09,16.47]
@attribute bankCredit real [4.17,16.13]
@attribute currency real [1130.9,4809.2]
@attribute demandDeposits real [105.6,533]
@attribute federalFunds real [225.8,412.1]
@attribute moneyStock real [2.86,20.06]
@attribute checkableDeposits real [381.1,1154.1]
@attribute loansLeases real [269.9,803.4]
@attribute savingsDeposits real [868.1,3550.3]
@attribute tradeCurrencies real [175.6,1758.1]
@attribute 30Y-CMortgageRate real [3.02,17.15]
@inputs 1MonthCDRate, 1Y-CMaturityRate, 3M-Rate-AuctionAverage, 3M-Rate-SecondaryMarket, 3Y-CMaturityRate, 5Y-CMaturityRate, bankCredit, currency, demandDeposits, federalFunds, moneyStock, checkableDeposits, loansLeases, savingsDeposits, tradeCurrencies
@outputs 30Y-CMortgageRate 
@data
8.24,88.96,10.11,7.81,7.73,8.39,8.43,2695.6,235.8,276.3,8.28,812.9,568.3,2073,917.5,8.09
8.32,92.039,10.26,7.97,7.93,8.63,8.6,2655.4,228.4,277.6,8.27,802.7,567.6,2047.6,910.1,8.35
14.36,112.404,16.86,12.5,12.39,14.09,13.85,1361.1,125.8,230,15.01,447.3,317.8,1043.7,343.9,13.86
3.66,88.032,8.26,3.63,3.57,5.91,6.47,3194.5,333.7,386.1,3.37,1139.3,797.9,2227.8,1220.3,4.7
8.87,121.009,13.91,7.81,7.78,9.96,10.34,1413.8,131.5,233.3,9.43,470.2,334.7,1082.3,361.3,9.03
5.81,84.325,9.05,5.77,5.7,7.65,7.73,3341.3,357.9,384.2,5.45,1150.4,784.5,2398.6,1135.2,7.02
10.19,119.598,13.58,9.66,9.65,11.84,12.24,1625.4,150.2,243.3,10.13,534.9,380.4,1219.3,704.2,10.76
5.4,85.414,8.42,5.21,5.15,6.53,6.72,3686.9,382.6,412.1,5.26,1114.9,722.4,2698.9,1211,5.9
9.26,129.084,13.74,8.82,8.65,11.06,11.47,1723.8,155.5,241.7,9.87,546.4,386.5,1319.3,691.9,9.98
5.35,85.017,8.3,5.09,5.09,6.44,6.63,3659.1,379.2,410.7,5.33,1116.8,728.4,2670.9,1200.1,5.78
4.87,95.33,6.98,4.38,4.35,5.06,5.12,4495.6,473.3,375.5,4.84,1110.7,629.2,3302.7,1651,4.72
6.64,96.533,10.3,5.62,5.61,7.65,7.91,2189.3,188.8,290.9,6.64,742.7,546,1669,964.8,6.61
9.25,122.549,13.35,8.82,8.88,10.86,11.29,1585.5,147.6,240.3,9.54,524.3,372.7,1177.7,685.7,9.86
