@relation STP
@attribute att0 real[17.219,61.5]
@attribute att1 real[19.25,60.25]
@attribute att2 real[12.75,25.125]
@attribute att3 real[34.375,60.125]
@attribute att4 real[27.75,94.125]
@attribute att5 real[14.125,35.25]
@attribute att6 real[58,87.25]
@attribute att7 real[16.375,29.25]
@attribute att8 real[31.5,53]
@attribute output real[34,62]
@data
43.5,38,13.625,40.25,55,17,62,21.5,49.75,52.625
48,38,15.625,42.75,55.625,15.75,63.5,22.375,50.75,56.625
48.672,34.75,13.875,41.25,48.875,15.625,62.25,25,47.75,56.375
44.625,25,18.375,43.25,38.75,17.625,66.625,25.5,35.5,45.875
26.5,51,20.75,39.25,63.125,30.25,65,19.75,43.125,36.125
34.5,57.5,21.75,47.75,77.375,27.125,74,22.75,46.125,52.375
42.328,36.875,13.375,39.75,53.125,17.625,61,21.625,47.625,51.125
21.109,52.25,19.375,45.75,63.375,27.5,69.625,18.375,49.5,40.25
33.672,56.25,20.625,45.875,84.375,26.75,69.875,21.75,45.125,52.375
38.578,39.875,13.25,41.625,57.625,18,65.25,22,46.25,50
21.781,53.5,19.625,41.75,61.75,28.875,63.25,18.5,44.5,36.375
50.25,33.25,13.75,43.125,47.125,17.375,64,24.625,49.875,57
47.75,37.5,15.75,56.875,46.75,23.75,80.25,27.875,39.625,46
34,58.75,21,48.125,74.375,25.625,78.125,22.75,48.75,54.125
60,32.625,16.125,39.875,43.875,17.875,61,27.25,47.125,57.25
59,35.125,15.75,45.25,38.25,18.875,64.75,27.375,49.75,58.875
24.109,55,20.75,45,62.75,29.625,65.625,20.125,47.875,38.875
27.172,51,20.375,40,76.25,28.5,70.125,20.875,43.75,41
37.422,57.125,21,49.5,72.625,23.75,78.25,24.375,47.375,55
38.25,39.375,13.125,41.5,54.875,17.75,65.125,22.25,46,50.125
46.125,36.5,15.625,55.125,48.75,23.625,79.25,27.625,39.125,45.875
50.625,46.625,19.625,50.875,64.625,23.25,75,26.25,41.25,44.125
19.891,52.875,18.875,45,61.375,29.25,67.375,17.625,44.5,36.375
38.328,45.5,14.875,40.125,60.125,17,66,22.5,48.75,52.5
40.328,44.75,16.125,39.125,61.375,16.875,66.25,20.25,48.25,51.875
27.672,51.375,22.125,40.625,64.125,30.25,68.75,20.375,42.75,37.75
40.375,25.875,15.75,38.5,45.75,15.875,63.25,24.5,37.125,44.625
25.563,49.375,21.25,39,63.875,29.875,63.5,19.625,40.75,35.125
45.5,23.125,17.875,43.375,42.5,18,67.875,27.25,33.875,47.625
18.563,49.375,19.125,42.5,60.75,27.25,65.75,16.875,47.875,34
34.672,57.125,21.125,48.25,72.875,25.125,77.75,22.875,48.375,54.75
35.422,57.375,20,48.625,70.625,24.875,78.25,22.625,47.625,54.125
47.5,36.875,15.75,55.25,50.375,27,79.125,27.875,39.625,45.125
46.375,45,19.75,57.625,57.125,29.75,84.75,27.125,45.625,46.625
46,39.25,16.125,59.25,51,23,81.5,27.375,39.75,43.625
44,22.5,19.375,43.25,31.25,17.75,67.375,24.75,36.125,45
27.891,50,20.75,40,76.625,29,71,20.75,42.875,39.875
41.25,45.5,15.75,45.875,62.5,18,70,23.25,50.5,54.75
40.75,24.25,15.75,38.375,47.375,15.875,64.625,24.375,37.625,45.25
27.391,50.625,20.5,40.125,76.75,28.875,71,21.125,41.5,40.25
25.938,49.75,21.875,39.125,61,29.5,64.5,19.875,42.25,36.25
50.625,48.75,20,53.25,62,24.5,79.5,26.5,42.375,44.625
47.125,29.375,15.5,52.125,38.375,26.25,79.25,27,39.625,48.25
49,34.5,13.75,41,47.625,16.25,63.125,24.875,48.625,56.375
34.172,58.125,21.375,48.125,75.5,27.25,74.625,22.5,45,51.75
27.781,52.5,21.375,41.375,65.125,31,67.5,20.875,45.625,37.625
33.5,57.75,19.75,47.375,73,25.375,78,23,49,53.75
25.672,53.125,22.75,44.25,64.125,28.875,65.875,21.25,49,38.75
45.125,42,17.75,56.375,55.625,26.125,80,26.875,42.125,44.125
48,26.375,18.875,50.625,47.125,24.875,77,27.625,41.25,46.875
21.719,55.375,20.5,43.75,64.125,28.875,66.75,18.625,43.125,38.5
56.828,35.75,16,43,45.875,17.75,62.25,27.25,49.875,59.75
38.422,54.25,19.5,50.125,68.25,21.375,83.125,24.375,47.5,54.625
46.375,24,17,40.5,51.375,15.625,69.375,24.875,35,45.625
26.438,51.75,22.125,40,62.875,30,65.25,20.875,42.125,36.75
49.75,28.5,18.375,50.625,38.75,21.125,73.875,28.5,39.25,47.875
51.625,26,16.875,51.375,40.75,24.125,75,28.75,38.75,48.125
20.672,53,23.25,44.5,61.75,29.875,66.5,19.75,49.25,39
50.625,26.875,15.375,35.75,43.625,14.875,60.375,23.875,39.75,49.625
22.438,54.25,20.375,42.5,62.5,28.375,65.25,18.5,44.625,36.75
30.328,54.25,22,45.5,91.875,27.5,68.625,22.25,44.5,45.5
39.172,45.25,16.125,39.375,61.875,17.5,69.625,21,49.75,52.875
27.063,50.75,21.75,40.625,65,30.25,70,21.375,43.75,38.375
27.281,50.375,21,40.875,66.375,30.375,69.5,21.625,44.25,38.875
39.328,40.5,13.5,41.625,59.875,17.75,66.625,23.125,47.625,51.75
18.563,49.75,19,43.25,61.75,29,65.75,17.125,47,34.875
